Example app listening at http://localhost:3004
MongoDB connected...
INVESTOR ID:: 68  | ACTUAL WALLET AMOUNT:: 51.31  | WALLET AMOUNT:: 51.31  | DIFFERENCE:: 0.00
INVESTOR ID:: 69  | ACTUAL WALLET AMOUNT:: 30.64  | WALLET AMOUNT:: 30.64  | DIFFERENCE:: 0.00
INVESTOR ID:: 70  | ACTUAL WALLET AMOUNT:: 121.02  | WALLET AMOUNT:: 17.02  | DIFFERENCE:: 104.00
INVESTOR ID:: 71  | ACTUAL WALLET AMOUNT:: 155.05  | WALLET AMOUNT:: 18.62  | DIFFERENCE:: 136.43
INVESTOR ID:: 72  | ACTUAL WALLET AMOUNT:: 371.83  | WALLET AMOUNT:: 152.14  | DIFFERENCE:: 219.69
INVESTOR ID:: 73  | ACTUAL WALLET AMOUNT:: 36.80  | WALLET AMOUNT:: 36.80  | DIFFERENCE:: 0.00
INVESTOR ID:: 74  | ACTUAL WALLET AMOUNT:: 16.82  | WALLET AMOUNT:: 16.82  | DIFFERENCE:: 0.00
INVESTOR ID:: 75  | ACTUAL WALLET AMOUNT:: 232.82  | WALLET AMOUNT:: 232.82  | DIFFERENCE:: 0.00
INVESTOR ID:: 76  | ACTUAL WALLET AMOUNT:: 474.20  | WALLET AMOUNT:: 474.20  | DIFFERENCE:: 0.00
INVESTOR ID:: 77  | ACTUAL WALLET AMOUNT:: 69.80  | WALLET AMOUNT:: 69.80  | DIFFERENCE:: 0.00
INVESTOR ID:: 78  | ACTUAL WALLET AMOUNT:: 54.06  | WALLET AMOUNT:: 54.06  | DIFFERENCE:: 0.00
INVESTOR ID:: 79  | ACTUAL WALLET AMOUNT:: 8.23  | WALLET AMOUNT:: 8.23  | DIFFERENCE:: 0.00
INVESTOR ID:: 80  | ACTUAL WALLET AMOUNT:: 46.46  | WALLET AMOUNT:: 46.46  | DIFFERENCE:: 0.00
INVESTOR ID:: 81  | ACTUAL WALLET AMOUNT:: 129.05  | WALLET AMOUNT:: 21.05  | DIFFERENCE:: 108.00
INVESTOR ID:: 82  | ACTUAL WALLET AMOUNT:: 83.94  | WALLET AMOUNT:: 83.94  | DIFFERENCE:: 0.00
INVESTOR ID:: 83  | ACTUAL WALLET AMOUNT:: 113.64  | WALLET AMOUNT:: 105.92  | DIFFERENCE:: 7.72
INVESTOR ID:: 84  | ACTUAL WALLET AMOUNT:: 979.02  | WALLET AMOUNT:: 370.49  | DIFFERENCE:: 608.53
INVESTOR ID:: 85  | ACTUAL WALLET AMOUNT:: 179.48  | WALLET AMOUNT:: 71.48  | DIFFERENCE:: 108.00
INVESTOR ID:: 86  | ACTUAL WALLET AMOUNT:: 165.90  | WALLET AMOUNT:: 165.90  | DIFFERENCE:: 0.00
INVESTOR ID:: 87  | ACTUAL WALLET AMOUNT:: 44.58  | WALLET AMOUNT:: 44.58  | DIFFERENCE:: 0.00
INVESTOR ID:: 88  | ACTUAL WALLET AMOUNT:: 260.51  | WALLET AMOUNT:: 250.06  | DIFFERENCE:: 10.45
INVESTOR ID:: 89  | ACTUAL WALLET AMOUNT:: 48.09  | WALLET AMOUNT:: 48.09  | DIFFERENCE:: 0.00
INVESTOR ID:: 90  | ACTUAL WALLET AMOUNT:: 91.82  | WALLET AMOUNT:: 91.82  | DIFFERENCE:: 0.00
INVESTOR ID:: 91  | ACTUAL WALLET AMOUNT:: 219.76  | WALLET AMOUNT:: 110.76  | DIFFERENCE:: 109.00
INVESTOR ID:: 92  | ACTUAL WALLET AMOUNT:: 139.16  | WALLET AMOUNT:: 35.16  | DIFFERENCE:: 104.00
INVESTOR ID:: 93  | ACTUAL WALLET AMOUNT:: 53.24  | WALLET AMOUNT:: 53.24  | DIFFERENCE:: 0.00
